TimeStamp,Application,Log Name,GPU0,GPU1,CPU,Resolution,Runtime,Avg FPS,1% Low FPS,AvgPCLatency (ms),    ,Min FPS,Max FPS,10% High FPS,0.1% Low FPS,0.1% FPS,1% FPS,5% FPS,10% FPS,Time (ms),MinPCLatency (ms),MaxPCLatency (ms),RenderPresentLatency (ms),GPU0Clk(MHz),GPU0MemClk(MHz),GPU0 Util%,GPU0 Temp (C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1 Util%,GPU1 Temp (C),Perf/Watt (F/J) (PCAT),PCAT Power (Watts),GPU NV Power (Watts) (API),CPUClk(MHz),CPU Util %,CPU Temp (C),CPU Package Power(Watts),Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W),Battery Charge Rate(W),OS,GPU Base Driver,GPU Driver Package,System RAM,Motherboard
2024-10-27T125128,UnrealGame-Win64-Shipping.exe,FrameView_UnrealGame-Win64-Shipping.exe_2024_10_27T125059_Log.csv,NVIDIA GeForce RTX 3070,NA,AMD Ryzen 7 5800X 8-Core Processor             ,2560x1440,D3D12,68.957,22.833,NA,  ,19.994,155.710,134.753,20.931,21.545,24.415,42.905,50.497,29.968,NA,NA,12.525,1962.649,7001.000,88.865,54.859,NA,NA,NA,NA,NA,NA,183,4033.663,25.067,66.507,81.317,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r560_88 ,NVIDIA: 56109 ,32GB DDR4 2667 MT/s,Micro-Star International Co.  Ltd. MPG B550 GAMING PLUS (MS-7C56)
2024-10-27T125620,UnrealGame-Win64-Shipping.exe,FrameView_UnrealGame-Win64-Shipping.exe_2024_10_27T125551_Log.csv,NVIDIA GeForce RTX 3070,NA,AMD Ryzen 7 5800X 8-Core Processor             ,2560x1440,D3D12,48.764,27.321,NA,  ,25.683,153.950,136.337,25.728,25.773,28.463,30.271,31.218,29.974,NA,NA,11.368,1950.000,7001.000,71.186,61.218,NA,NA,NA,NA,NA,NA,169,4189.728,25.996,74.520,88.671,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r560_88 ,NVIDIA: 56109 ,32GB DDR4 2667 MT/s,Micro-Star International Co.  Ltd. MPG B550 GAMING PLUS (MS-7C56)
2024-10-27T125802,UnrealGame-Win64-Shipping.exe,FrameView_UnrealGame-Win64-Shipping.exe_2024_10_27T125733_Log.csv,NVIDIA GeForce RTX 3070,NA,AMD Ryzen 7 5800X 8-Core Processor             ,2560x1440,D3D12,52.751,28.916,NA,  ,23.958,154.921,137.332,24.604,25.286,30.681,33.602,35.023,29.982,NA,NA,11.499,1951.147,7001.000,75.066,60.962,NA,NA,NA,NA,NA,NA,177,4178.707,26.668,74.079,85.211,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r560_88 ,NVIDIA: 56109 ,32GB DDR4 2667 MT/s,Micro-Star International Co.  Ltd. MPG B550 GAMING PLUS (MS-7C56)
2024-10-27T125843,UnrealGame-Win64-Shipping.exe,FrameView_UnrealGame-Win64-Shipping.exe_2024_10_27T125813_Log.csv,NVIDIA GeForce RTX 3070,NA,AMD Ryzen 7 5800X 8-Core Processor             ,2560x1440,D3D12,54.828,30.493,NA,  ,28.245,154.088,136.519,28.847,29.475,31.321,33.779,35.532,29.959,NA,NA,10.921,1950.000,7001.000,75.690,58.663,NA,NA,NA,NA,NA,NA,173,4170.145,26.916,73.205,88.838,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r560_88 ,NVIDIA: 56109 ,32GB DDR4 2667 MT/s,Micro-Star International Co.  Ltd. MPG B550 GAMING PLUS (MS-7C56)
2024-10-27T130008,UnrealGame-Win64-Shipping.exe,FrameView_UnrealGame-Win64-Shipping.exe_2024_10_27T125939_Log.csv,NVIDIA GeForce RTX 3070,NA,AMD Ryzen 7 5800X 8-Core Processor             ,2560x1440,D3D12,51.005,26.623,NA,  ,25.124,158.562,139.668,25.165,25.206,27.405,28.859,30.059,29.989,NA,NA,11.209,1950.000,7001.000,73.729,57.657,NA,NA,NA,NA,NA,NA,172,4155.558,23.326,71.856,84.339,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r560_88 ,NVIDIA: 56109 ,32GB DDR4 2667 MT/s,Micro-Star International Co.  Ltd. MPG B550 GAMING PLUS (MS-7C56)
2024-10-27T130047,UnrealGame-Win64-Shipping.exe,FrameView_UnrealGame-Win64-Shipping.exe_2024_10_27T130018_Log.csv,NVIDIA GeForce RTX 3070,NA,AMD Ryzen 7 5800X 8-Core Processor             ,2560x1440,D3D12,53.704,25.055,NA,  ,20.924,177.004,136.402,21.868,22.901,27.795,33.910,36.190,29.972,NA,NA,11.124,1965.000,7001.000,75.549,57.568,NA,NA,NA,NA,NA,NA,172,4106.689,27.406,73.469,82.327,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r560_88 ,NVIDIA: 56109 ,32GB DDR4 2667 MT/s,Micro-Star International Co.  Ltd. MPG B550 GAMING PLUS (MS-7C56)
2024-10-27T130142,UnrealGame-Win64-Shipping.exe,FrameView_UnrealGame-Win64-Shipping.exe_2024_10_27T130112_Log.csv,NVIDIA GeForce RTX 3070,NA,AMD Ryzen 7 5800X 8-Core Processor             ,2560x1440,D3D12,47.546,21.950,NA,  ,21.189,154.842,139.449,21.265,21.342,22.578,24.834,28.159,29.984,NA,NA,11.857,1965.000,7001.000,73.207,59.440,NA,NA,NA,NA,NA,NA,173,4126.063,25.947,74.294,83.238,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r560_88 ,NVIDIA: 56109 ,32GB DDR4 2667 MT/s,Micro-Star International Co.  Ltd. MPG B550 GAMING PLUS (MS-7C56)
2024-10-27T130221,UnrealGame-Win64-Shipping.exe,FrameView_UnrealGame-Win64-Shipping.exe_2024_10_27T130149_Log.csv,NVIDIA GeForce RTX 3070,NA,AMD Ryzen 7 5800X 8-Core Processor             ,2560x1440,D3D12,44.013,26.316,NA,  ,24.588,153.872,134.699,24.810,25.036,27.215,29.046,29.854,29.961,NA,NA,11.472,1965.000,7001.000,67.011,57.758,NA,NA,NA,NA,NA,NA,165,4190.967,26.510,74.410,88.002,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r560_88 ,NVIDIA: 56109 ,32GB DDR4 2667 MT/s,Micro-Star International Co.  Ltd. MPG B550 GAMING PLUS (MS-7C56)
2024-10-27T130304,UnrealGame-Win64-Shipping.exe,FrameView_UnrealGame-Win64-Shipping.exe_2024_10_27T130233_Log.csv,NVIDIA GeForce RTX 3070,NA,AMD Ryzen 7 5800X 8-Core Processor             ,2560x1440,D3D12,47.026,24.382,NA,  ,19.898,149.211,128.092,20.179,20.469,26.562,29.752,31.380,29.976,NA,NA,12.009,1965.000,7001.000,73.168,57.570,NA,NA,NA,NA,NA,NA,166,4135.821,29.971,73.029,84.717,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r560_88 ,NVIDIA: 56109 ,32GB DDR4 2667 MT/s,Micro-Star International Co.  Ltd. MPG B550 GAMING PLUS (MS-7C56)
2024-10-27T130827,UnrealGame-Win64-Shipping.exe,FrameView_UnrealGame-Win64-Shipping.exe_2024_10_27T130757_Log.csv,NVIDIA GeForce RTX 3070,NA,AMD Ryzen 7 5800X 8-Core Processor             ,2560x1440,D3D12,53.031,26.577,NA,  ,19.967,170.085,135.655,21.907,24.265,28.891,31.177,32.818,29.976,NA,NA,11.614,1965.000,7001.000,76.940,56.468,NA,NA,NA,NA,NA,NA,171,4161.898,27.650,71.300,83.488,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r560_88 ,NVIDIA: 56109 ,32GB DDR4 2667 MT/s,Micro-Star International Co.  Ltd. MPG B550 GAMING PLUS (MS-7C56)
